CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Male,1.0,-0.1543,-0.2885,5.0,17.0,-1.4027,-1.2949,303.3415,Q1 (Lowest),Palestine
PSE,Female,1.0,1.0491,0.3378,6.0,33.76,-1.5957,-1.405,421.758,Q1 (Lowest),Palestine
PSE,Female,1.0,0.7356,1.1606,5.0,17.0,-1.7788,-2.0052,300.1818,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.2047,0.3025,5.0,23.47,0.4186,-1.5659,471.90830000000005,Q1 (Lowest),Palestine
PSE,Female,1.0,0.5453,0.5653,8.0,17.0,-1.0104,-0.7779,389.61019999999996,Q2,Palestine
PSE,Male,,,,,,,,401.56100000000004,,Palestine
PSE,Female,1.0,0.5031,,10.0,17.0,-0.6115,-0.7572,337.2928,Q2,Palestine
PSE,Male,1.0,,,5.0,21.24,-1.5112,-1.6443,342.0658,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.2097,0.5653,6.0,17.0,-2.5572,-1.8619,351.12760000000003,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.8899,,6.0,17.0,-1.9106,-1.9632,330.0181999999999,Q1 (Lowest),Palestine
PSE,Male,,,,5.0,17.0,-5.0283,-3.7418,313.7317,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.6508,0.429,3.0,33.76,-3.1367,-2.5127,301.3706,Q1 (Lowest),Palestine
PSE,Female,1.0,0.0068,0.1932,3.0,18.02,-3.0263,-3.2992,377.6109,Q1 (Lowest),Palestine
PSE,Male,1.0,0.1773,,10.0,17.0,1.4595,-0.115,351.2595,Q2,Palestine
PSE,Male,1.0,0.5214,,10.0,85.41,-0.2628,0.7643,313.9991,Q4 (Highest),Palestine
PSE,Male,1.0,-0.7865,0.1932,6.0,63.03,-1.7113,-0.9245,412.0714,Q2,Palestine
PSE,Female,1.0,-0.1508,1.1417,9.0,33.76,0.31,-0.2628,447.26629999999994,Q2,Palestine
PSE,Female,1.0,0.0311,-1.2788,8.0,61.18,0.0473,0.2418,571.9473,Q3,Palestine
PSE,Female,1.0,-1.8721,0.4067,7.0,16.5,-0.1698,-0.6426,423.39390000000003,Q2,Palestine
PSE,Male,1.0,-0.1484,0.6566,7.0,76.49,-2.4667,-0.7229,357.70490000000007,Q2,Palestine
PSE,Female,1.0,2.4581,0.5653,10.0,61.18,1.0729,0.7247,340.3654,Q4 (Highest),Palestine
PSE,Female,1.0,0.7563,-0.0394,6.0,61.18,0.4808,-0.2877,344.25669999999997,Q2,Palestine
PSE,Male,1.0,-0.8755,0.051,7.0,17.0,0.8165,-0.83,391.8258000000001,Q2,Palestine
